[    161.21] WORKER1  | RECV      | INFO    | Task 0185 received (key=3f70, queue:1/10)
[    161.21] WORKER1  | PROC      | FAIL    | Task 0180 FAIL (proc=1.77s, wait=0.00s)
[    161.21] WORKER1  | RECV      | INFO    | Task 0189 received (key=b09a, queue:2/10)
[    161.21] WORKER1  | RECV      | INFO    | Task 0193 received (key=949b, queue:3/10)
[    161.21] WORKER1  | RECV      | INFO    | Task 0195 received (key=1d5b, queue:4/10)
[    161.21] WORKER1  | RECV      | INFO    | Task 0197 received (key=c2b7, queue:5/10)
[    161.21] WORKER1  | RECV      | INFO    | Task 0198 received (key=abd0, queue:6/10)
[    162.23] WORKER1  | PROC      | SUCCESS | Task 0185 SUCCESS (proc=1.02s, wait=0.00s)
[    163.81] WORKER1  | PROC      | FAIL    | Task 0189 FAIL (proc=1.58s, wait=1.02s)
[    166.17] WORKER1  | PROC      | SUCCESS | Task 0193 SUCCESS (proc=2.36s, wait=2.61s)
[    168.45] WORKER1  | PROC      | SUCCESS | Task 0195 SUCCESS (proc=2.28s, wait=4.96s)
[    169.47] WORKER1  | PROC      | SUCCESS | Task 0197 SUCCESS (proc=1.02s, wait=7.24s)
[    172.35] WORKER1  | PROC      | SUCCESS | Task 0198 SUCCESS (proc=2.88s, wait=8.27s)
[    172.35] WORKER1  | RECV      | INFO    | Task 0204 received (key=df9a, queue:1/10)
[    175.25] WORKER1  | PROC      | SUCCESS | Task 0204 SUCCESS (proc=2.90s, wait=0.00s)
[    175.25] WORKER1  | RECV      | INFO    | Task 0206 received (key=8e61, queue:1/10)
[    175.25] WORKER1  | RECV      | INFO    | Task 0207 received (key=229f, queue:2/10)
[    175.25] WORKER1  | RECV      | INFO    | Task 0209 received (key=15da, queue:3/10)
[    175.25] WORKER1  | RECV      | INFO    | Task 0211 received (key=c811, queue:4/10)
[    177.68] WORKER1  | PROC      | SUCCESS | Task 0206 SUCCESS (proc=2.43s, wait=0.00s)
[    179.76] WORKER1  | PROC      | SUCCESS | Task 0207 SUCCESS (proc=2.07s, wait=2.43s)
[    181.40] WORKER1  | PROC      | SUCCESS | Task 0209 SUCCESS (proc=1.65s, wait=4.51s)
[    183.18] WORKER1  | PROC      | FAIL    | Task 0211 FAIL (proc=1.78s, wait=6.15s)
[    183.18] WORKER1  | RECV      | INFO    | Task 0180 received (key=8837, queue:1/10) [RETRY #1]
[    183.18] WORKER1  | RECV      | INFO    | Task 0220 received (key=879e, queue:2/10)
[    183.18] WORKER1  | RECV      | INFO    | Task 0189 received (key=b09a, queue:3/10) [RETRY #1]
[    183.18] WORKER1  | RECV      | INFO    | Task 0222 received (key=20c5, queue:4/10)
[    184.99] WORKER1  | RECV      | INFO    | Task 0224 received (key=1b88, queue:4/10)
[    184.99] WORKER1  | PROC      | SUCCESS | Task 0180 SUCCESS (proc=1.81s, wait=0.00s)
[    184.99] WORKER1  | RECV      | INFO    | Task 0225 received (key=3354, queue:5/10)
[    184.99] WORKER1  | RECV      | INFO    | Task 0227 received (key=8409, queue:6/10)
[    186.66] WORKER1  | PROC      | SUCCESS | Task 0220 SUCCESS (proc=1.67s, wait=1.81s)
[    188.62] WORKER1  | PROC      | SUCCESS | Task 0189 SUCCESS (proc=1.96s, wait=3.48s)
[    190.85] WORKER1  | PROC      | SUCCESS | Task 0222 SUCCESS (proc=2.23s, wait=5.44s)
[    193.55] WORKER1  | PROC      | SUCCESS | Task 0224 SUCCESS (proc=2.70s, wait=5.86s)
[    194.67] WORKER1  | PROC      | SUCCESS | Task 0225 SUCCESS (proc=1.12s, wait=8.56s)
[    196.78] WORKER1  | PROC      | SUCCESS | Task 0227 SUCCESS (proc=2.12s, wait=9.68s)
[    196.78] WORKER1  | RECV      | INFO    | Task 0232 received (key=4e3b, queue:1/10)
[    198.93] WORKER1  | RECV      | INFO    | Task 0234 received (key=27e0, queue:1/10)
[    198.93] WORKER1  | PROC      | SUCCESS | Task 0232 SUCCESS (proc=2.15s, wait=0.00s)
[    198.93] WORKER1  | RECV      | INFO    | Task 0235 received (key=e8b3, queue:2/10)
[    198.93] WORKER1  | RECV      | INFO    | Task 0236 received (key=7582, queue:3/10)
[    198.93] WORKER1  | RECV      | INFO    | Task 0211 received (key=c811, queue:4/10) [RETRY #1]
[    199.99] WORKER1  | PROC      | SUCCESS | Task 0234 SUCCESS (proc=1.06s, wait=0.00s)
[    202.00] WORKER1  | PROC      | FAIL    | Task 0235 FAIL (proc=2.01s, wait=1.06s)
[    203.73] WORKER1  | PROC      | SUCCESS | Task 0236 SUCCESS (proc=1.73s, wait=3.07s)
[    204.77] WORKER1  | PROC      | SUCCESS | Task 0211 SUCCESS (proc=1.04s, wait=4.80s)
[    204.77] WORKER1  | RECV      | INFO    | Task 0246 received (key=d1ba, queue:1/10)
[    204.77] WORKER1  | RECV      | INFO    | Task 0247 received (key=297d, queue:2/10)
[    207.31] WORKER1  | PROC      | SUCCESS | Task 0246 SUCCESS (proc=2.54s, wait=0.00s)
[    207.31] WORKER1  | RECV      | INFO    | Task 0250 received (key=ec9a, queue:2/10)
[    207.31] WORKER1  | RECV      | INFO    | Task 0252 received (key=58a1, queue:3/10)
[    207.31] WORKER1  | RECV      | INFO    | Task 0152 received (key=141e, queue:4/10) [RETRY #3]
[    207.31] WORKER1  | RECV      | INFO    | Task 0255 received (key=6822, queue:5/10)
[    207.31] WORKER1  | RECV      | INFO    | Task 0258 received (key=5dc0, queue:6/10)
[    210.00] WORKER1  | PROC      | SUCCESS | Task 0247 SUCCESS (proc=2.69s, wait=2.54s)
[    211.80] WORKER1  | PROC      | SUCCESS | Task 0250 SUCCESS (proc=1.80s, wait=2.69s)
[    213.32] WORKER1  | PROC      | SUCCESS | Task 0252 SUCCESS (proc=1.52s, wait=4.49s)
[    214.33] WORKER1  | PROC      | FAIL    | Task 0152 FAIL (proc=1.02s, wait=6.01s)
[    215.75] WORKER1  | PROC      | SUCCESS | Task 0255 SUCCESS (proc=1.42s, wait=7.02s)
[    217.70] WORKER1  | PROC      | SUCCESS | Task 0258 SUCCESS (proc=1.95s, wait=8.44s)
[    217.70] WORKER1  | RECV      | INFO    | Task 0263 received (key=dfac, queue:1/10)
[    217.70] WORKER1  | RECV      | INFO    | Task 0265 received (key=00cf, queue:2/10)
[    217.70] WORKER1  | RECV      | INFO    | Task 0235 received (key=e8b3, queue:3/10) [RETRY #1]
[    217.70] WORKER1  | RECV      | INFO    | Task 0269 received (key=3e8e, queue:4/10)
[    217.70] WORKER1  | RECV      | INFO    | Task 0270 received (key=5ef1, queue:5/10)
[    218.73] WORKER1  | PROC      | SUCCESS | Task 0263 SUCCESS (proc=1.04s, wait=0.00s)
[    221.17] WORKER1  | PROC      | SUCCESS | Task 0265 SUCCESS (proc=2.43s, wait=1.04s)
[    223.45] WORKER1  | PROC      | SUCCESS | Task 0235 SUCCESS (proc=2.28s, wait=3.47s)
[    225.59] WORKER1  | PROC      | SUCCESS | Task 0269 SUCCESS (proc=2.14s, wait=5.75s)
[    227.80] WORKER1  | PROC      | FAIL    | Task 0270 FAIL (proc=2.21s, wait=7.90s)
[    227.80] WORKER1  | RECV      | INFO    | Task 0279 received (key=72c9, queue:1/10)
[    229.89] WORKER1  | PROC      | SUCCESS | Task 0279 SUCCESS (proc=2.09s, wait=0.00s)
[    229.89] WORKER1  | RECV      | INFO    | Task 0281 received (key=19b6, queue:1/10)
[    229.89] WORKER1  | RECV      | INFO    | Task 0282 received (key=27b7, queue:2/10)
[    229.89] WORKER1  | RECV      | INFO    | Task 0285 received (key=c1e1, queue:3/10)
[    229.89] WORKER1  | RECV      | INFO    | Task 0152 received (key=141e, queue:4/10) [RETRY #4]
[    229.89] WORKER1  | RECV      | INFO    | Task 0290 received (key=c666, queue:5/10)
[    229.89] WORKER1  | RECV      | INFO    | Task 0292 received (key=5729, queue:6/10)
[    231.89] WORKER1  | PROC      | FAIL    | Task 0281 FAIL (proc=2.00s, wait=0.00s)
[    233.54] WORKER1  | PROC      | SUCCESS | Task 0282 SUCCESS (proc=1.65s, wait=2.00s)
[    235.43] WORKER1  | PROC      | SUCCESS | Task 0285 SUCCESS (proc=1.89s, wait=3.64s)
[    237.05] WORKER1  | PROC      | SUCCESS | Task 0152 SUCCESS (proc=1.62s, wait=5.54s)
[    239.40] WORKER1  | PROC      | SUCCESS | Task 0290 SUCCESS (proc=2.35s, wait=7.16s)
[    242.32] WORKER1  | PROC      | SUCCESS | Task 0292 SUCCESS (proc=2.92s, wait=9.51s)
[    242.32] WORKER1  | RECV      | INFO    | Task 0297 received (key=3bdd, queue:1/10)
[    244.73] WORKER1  | PROC      | FAIL    | Task 0297 FAIL (proc=2.41s, wait=0.00s)
[    244.73] WORKER1  | RECV      | INFO    | Task 0299 received (key=b3e1, queue:1/10)
[    244.73] WORKER1  | RECV      | INFO    | Task 0300 received (key=0198, queue:2/10)
[    244.73] WORKER1  | RECV      | INFO    | Task 0301 received (key=b85b, queue:3/10)
[    244.73] WORKER1  | RECV      | INFO    | Task 0270 received (key=5ef1, queue:4/10) [RETRY #1]
[    247.51] WORKER1  | PROC      | SUCCESS | Task 0299 SUCCESS (proc=2.78s, wait=0.00s)
[    249.91] WORKER1  | PROC      | FAIL    | Task 0300 FAIL (proc=2.39s, wait=2.78s)
[    252.24] WORKER1  | PROC      | SUCCESS | Task 0301 SUCCESS (proc=2.33s, wait=5.17s)
[    253.54] WORKER1  | PROC      | SUCCESS | Task 0270 SUCCESS (proc=1.30s, wait=7.51s)
[    253.54] WORKER1  | RECV      | INFO    | Task 0309 received (key=a228, queue:1/10)
[    253.54] WORKER1  | RECV      | INFO    | Task 0281 received (key=19b6, queue:2/10) [RETRY #1]
[    253.54] WORKER1  | RECV      | INFO    | Task 0312 received (key=e78e, queue:3/10)
[    255.11] WORKER1  | RECV      | INFO    | Task 0314 received (key=3b83, queue:3/10)
[    255.11] WORKER1  | PROC      | SUCCESS | Task 0309 SUCCESS (proc=1.57s, wait=0.00s)
[    255.11] WORKER1  | RECV      | INFO    | Task 0316 received (key=ae07, queue:4/10)
[    255.11] WORKER1  | RECV      | INFO    | Task 0319 received (key=b6eb, queue:5/10)
[    255.11] WORKER1  | RECV      | INFO    | Task 0321 received (key=ff6e, queue:6/10)
