[    297.38] WORKER3  | RECV      | INFO    | Task 0386 received (key=03d0, queue:3/10)
[    298.68] WORKER3  | PROC      | SUCCESS | Task 0384 SUCCESS (proc=1.30s, wait=0.00s)
[    301.26] WORKER3  | PROC      | SUCCESS | Task 0385 SUCCESS (proc=2.58s, wait=1.30s)
[    303.19] WORKER3  | PROC      | SUCCESS | Task 0386 SUCCESS (proc=1.93s, wait=3.88s)
[    305.08] WORKER3  | RECV      | INFO    | Task 0399 received (key=be73, queue:1/10)
[    307.09] WORKER3  | RECV      | INFO    | Task 0400 received (key=ce52, queue:1/10)
[    307.09] WORKER3  | RECV      | INFO    | Task 0401 received (key=5553, queue:2/10)
[    307.09] WORKER3  | RECV      | INFO    | Task 0402 received (key=3dda, queue:3/10)
[    307.09] WORKER3  | PROC      | SUCCESS | Task 0399 SUCCESS (proc=2.01s, wait=0.00s)
[    307.09] WORKER3  | RECV      | INFO    | Task 0403 received (key=4e48, queue:4/10)
[    309.88] WORKER3  | PROC      | SUCCESS | Task 0400 SUCCESS (proc=2.79s, wait=0.00s)
[    311.31] WORKER3  | PROC      | SUCCESS | Task 0401 SUCCESS (proc=1.43s, wait=2.79s)
[    313.23] WORKER3  | PROC      | SUCCESS | Task 0402 SUCCESS (proc=1.92s, wait=4.22s)
[    314.33] WORKER3  | PROC      | FAIL    | Task 0403 FAIL (proc=1.10s, wait=6.14s)
[    318.51] WORKER3  | RECV      | INFO    | Task 0417 received (key=603b, queue:1/10)
[    321.05] WORKER3  | RECV      | INFO    | Task 0418 received (key=f690, queue:1/10)
[    321.05] WORKER3  | RECV      | INFO    | Task 0419 received (key=354d, queue:2/10)
[    321.05] WORKER3  | RECV      | INFO    | Task 0420 received (key=c0ea, queue:3/10)
[    321.05] WORKER3  | PROC      | FAIL    | Task 0417 FAIL (proc=2.54s, wait=0.00s)
[    323.15] WORKER3  | PROC      | SUCCESS | Task 0418 SUCCESS (proc=2.10s, wait=0.00s)
[    324.96] WORKER3  | PROC      | SUCCESS | Task 0419 SUCCESS (proc=1.81s, wait=2.10s)
[    326.84] WORKER3  | PROC      | FAIL    | Task 0420 FAIL (proc=1.88s, wait=3.91s)
[    330.73] WORKER3  | RECV      | INFO    | Task 0435 received (key=2869, queue:1/10)
[    332.01] WORKER3  | PROC      | SUCCESS | Task 0435 SUCCESS (proc=1.28s, wait=0.00s)
[    332.01] WORKER3  | RECV      | INFO    | Task 0436 received (key=643a, queue:1/10)
[    332.01] WORKER3  | RECV      | INFO    | Task 0437 received (key=ac20, queue:2/10)
[    332.01] WORKER3  | RECV      | INFO    | Task 0438 received (key=ca6c, queue:3/10)
[    332.01] WORKER3  | RECV      | INFO    | Task 0403 received (key=4e48, queue:4/10) [RETRY #1]
[    333.08] WORKER3  | PROC      | SUCCESS | Task 0436 SUCCESS (proc=1.07s, wait=0.00s)
